9.2693 	DATA 	Keypress: function
10.1129 	EXP 	Created feedback_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
10.1324 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Courier', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
10.1351 	EXP 	Created unnamed Circle = Circle(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.0), pos=array([-0.625, -0.47 ]), size=array([ 1.,  1.]), units='height', vertices=ndarray(...), win=Window(...))
10.1386 	EXP 	Created itemL = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='White', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemL', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
10.1421 	EXP 	Created itemR = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='courier', fontFiles=[], height=0.15, italic=False, name='itemR', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='norm', win=Window(...), wrapWidth=1)
10.1441 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units='norm', win=Window(...), wrapWidth=1)
10.1447 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='norm', win=Window(...), wrapWidth=1)
10.1701 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.2, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
10.1860 	EXP 	instr1: autoDraw = True
11.5204 	DATA 	Keypress: return
11.5267 	EXP 	Imported conditions1.xlsx as conditions, 4 conditions, 6 params
11.5270 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
11.5273 	EXP 	New trial (rep=0, index=0): {u'typeL': u'word', u'right': u'ship', u'TrialN': 1L, u'corrAns': 3L, u'TypeR': u'word', u'left': u'tour'}
11.5510 	EXP 	instr1: autoDraw = False
11.5510 	EXP 	itemL: text = u'tour'
11.5510 	EXP 	itemR: text = u'ship'
11.5510 	EXP 	blank: autoDraw = True
12.0344 	EXP 	blank: autoDraw = False
12.0512 	EXP 	fixation: autoDraw = True
12.5519 	EXP 	itemR: autoDraw = True
12.5519 	EXP 	itemL: autoDraw = True
12.7851 	EXP 	fixation: autoDraw = False
12.7851 	EXP 	itemR: autoDraw = False
12.7851 	EXP 	itemL: autoDraw = False
14.7261 	DATA 	Keypress: 1
14.7699 	EXP 	fixation: autoDraw = False
14.7699 	EXP 	blank: autoDraw = False
14.7699 	EXP 	itemL: autoDraw = False
14.7699 	EXP 	itemR: autoDraw = False
14.7699 	EXP 	feedback_2: text = 'Oops! That was wrong'
14.7699 	EXP 	feedback_2: autoDraw = True
15.7527 	EXP 	New trial (rep=0, index=1): {u'typeL': u'non word', u'right': u'****', u'TrialN': 2L, u'corrAns': 1L, u'TypeR': u'non word', u'left': u'****'}
15.7683 	EXP 	feedback_2: autoDraw = False
15.7683 	EXP 	feedback_2: autoDraw = False
15.7683 	EXP 	itemL: text = u'****'
15.7683 	EXP 	itemR: text = u'****'
15.7683 	EXP 	blank: autoDraw = True
16.2678 	EXP 	blank: autoDraw = False
16.2844 	EXP 	fixation: autoDraw = True
16.7842 	EXP 	itemR: autoDraw = True
16.7842 	EXP 	itemL: autoDraw = True
17.0184 	EXP 	fixation: autoDraw = False
17.0184 	EXP 	itemR: autoDraw = False
17.0184 	EXP 	itemL: autoDraw = False
18.7540 	DATA 	Keypress: 2
18.8188 	EXP 	fixation: autoDraw = False
18.8188 	EXP 	blank: autoDraw = False
18.8188 	EXP 	itemL: autoDraw = False
18.8188 	EXP 	itemR: autoDraw = False
18.8188 	EXP 	feedback_2: text = 'Oops! That was wrong'
18.8188 	EXP 	feedback_2: autoDraw = True
19.7879 	EXP 	New trial (rep=0, index=2): {u'typeL': u'non word', u'right': u'hart', u'TrialN': 3L, u'corrAns': 2L, u'TypeR': u'word', u'left': u'****'}
19.8035 	EXP 	feedback_2: autoDraw = False
19.8035 	EXP 	feedback_2: autoDraw = False
19.8035 	EXP 	itemL: text = u'****'
19.8035 	EXP 	itemR: text = u'hart'
19.8035 	EXP 	blank: autoDraw = True
20.3034 	EXP 	blank: autoDraw = False
20.3201 	EXP 	fixation: autoDraw = True
20.8202 	EXP 	itemR: autoDraw = True
20.8202 	EXP 	itemL: autoDraw = True
21.0535 	EXP 	fixation: autoDraw = False
21.0535 	EXP 	itemR: autoDraw = False
21.0535 	EXP 	itemL: autoDraw = False
21.6227 	DATA 	Keypress: 1
22.8192 	EXP 	fixation: autoDraw = False
22.8192 	EXP 	blank: autoDraw = False
22.8192 	EXP 	itemL: autoDraw = False
22.8192 	EXP 	itemR: autoDraw = False
22.8192 	EXP 	feedback_2: text = 'Oops! That was wrong'
22.8192 	EXP 	feedback_2: autoDraw = True
23.8022 	EXP 	New trial (rep=0, index=3): {u'typeL': u'non word', u'right': u'****', u'TrialN': 4L, u'corrAns': 1L, u'TypeR': u'non word', u'left': u'****'}
23.8182 	EXP 	feedback_2: autoDraw = False
23.8182 	EXP 	feedback_2: autoDraw = False
23.8182 	EXP 	itemL: text = u'****'
23.8182 	EXP 	itemR: text = u'****'
23.8182 	EXP 	blank: autoDraw = True
24.3184 	EXP 	blank: autoDraw = False
24.3351 	EXP 	fixation: autoDraw = True
24.8344 	EXP 	itemR: autoDraw = True
24.8344 	EXP 	itemL: autoDraw = True
25.0680 	EXP 	fixation: autoDraw = False
25.0680 	EXP 	itemR: autoDraw = False
25.0680 	EXP 	itemL: autoDraw = False
27.0873 	DATA 	Keypress: 1
27.1355 	EXP 	fixation: autoDraw = False
27.1355 	EXP 	blank: autoDraw = False
27.1355 	EXP 	itemL: autoDraw = False
27.1355 	EXP 	itemR: autoDraw = False
27.1355 	EXP 	feedback_2: text = 'Correct! RT=2.253'
27.1355 	EXP 	feedback_2: autoDraw = True
28.1180 	EXP 	feedback_2: autoDraw = False
28.1180 	EXP 	feedback_2: autoDraw = False
28.1180 	EXP 	instrText: autoDraw = True
29.8038 	DATA 	Keypress: space
29.8874 	EXP 	Imported conditions4.xlsx as conditions, 407 conditions, 11 params
29.8886 	EXP 	Created sequence: sequential, trialTypes=407, nReps=1, seed=None
29.8890 	EXP 	New trial (rep=0, index=0): {u'right': u'buck', u'Zipf_L': 4.26, u'Trial_number_L': 5307L, u'FreqCount_L': 3648L, u'Trial_Number_R': 7295L, u'FreqCount_R': 1837L, u'corrAns': 3L, u'Zipf_R': 3.96, u'order': 0.9338627969471647, u'condition': u'two words', u'left': u'pipe'}
29.9031 	EXP 	instrText: autoDraw = False
29.9031 	EXP 	itemL: text = u'pipe'
29.9031 	EXP 	itemR: text = u'buck'
29.9031 	EXP 	blank: autoDraw = True
30.4006 	EXP 	blank: autoDraw = False
30.4177 	EXP 	fixation: autoDraw = True
30.9181 	EXP 	itemR: autoDraw = True
30.9181 	EXP 	itemL: autoDraw = True
31.1517 	EXP 	fixation: autoDraw = False
31.1517 	EXP 	itemR: autoDraw = False
31.1517 	EXP 	itemL: autoDraw = False
33.3707 	DATA 	Keypress: 1
33.4193 	EXP 	fixation: autoDraw = False
33.4193 	EXP 	blank: autoDraw = False
33.4193 	EXP 	itemL: autoDraw = False
33.4193 	EXP 	itemR: autoDraw = False
33.4193 	EXP 	feedback_2: text = 'Oops! That was wrong'
33.4193 	EXP 	feedback_2: autoDraw = True
34.3856 	EXP 	New trial (rep=0, index=1): {u'right': u'damp', u'Zipf_L': u'NA', u'Trial_number_L': u'NA', u'FreqCount_L': u'NA', u'Trial_Number_R': 4890L, u'FreqCount_R': 4381L, u'corrAns': 2L, u'Zipf_R': 4.34, u'order': 0.7505956024951798, u'condition': u'one word_R', u'left': u'****'}
34.4016 	EXP 	feedback_2: autoDraw = False
34.4016 	EXP 	feedback_2: autoDraw = False
34.4016 	EXP 	itemL: text = u'****'
34.4016 	EXP 	itemR: text = u'damp'
34.4016 	EXP 	blank: autoDraw = True
34.9010 	EXP 	blank: autoDraw = False
34.9179 	EXP 	fixation: autoDraw = True
35.4183 	EXP 	itemR: autoDraw = True
35.4183 	EXP 	itemL: autoDraw = True
35.6512 	EXP 	fixation: autoDraw = False
35.6512 	EXP 	itemR: autoDraw = False
35.6512 	EXP 	itemL: autoDraw = False
36.1365 	DATA 	Keypress: 1
37.4199 	EXP 	fixation: autoDraw = False
37.4199 	EXP 	blank: autoDraw = False
37.4199 	EXP 	itemL: autoDraw = False
37.4199 	EXP 	itemR: autoDraw = False
37.4199 	EXP 	feedback_2: text = 'Oops! That was wrong'
37.4199 	EXP 	feedback_2: autoDraw = True
38.4041 	EXP 	New trial (rep=0, index=2): {u'right': u'****', u'Zipf_L': u'NA', u'Trial_number_L': u'NA', u'FreqCount_L': u'NA', u'Trial_Number_R': u'NA', u'FreqCount_R': u'NA', u'corrAns': 1L, u'Zipf_R': u'NA', u'order': 0.4871232167701005, u'condition': u'zero words', u'left': u'****'}
38.4197 	EXP 	feedback_2: autoDraw = False
38.4197 	EXP 	feedback_2: autoDraw = False
38.4197 	EXP 	itemL: text = u'****'
38.4197 	EXP 	itemR: text = u'****'
38.4197 	EXP 	blank: autoDraw = True
38.9200 	EXP 	blank: autoDraw = False
38.9363 	EXP 	fixation: autoDraw = True
39.4366 	EXP 	itemR: autoDraw = True
39.4366 	EXP 	itemL: autoDraw = True
39.6698 	EXP 	fixation: autoDraw = False
39.6698 	EXP 	itemR: autoDraw = False
39.6698 	EXP 	itemL: autoDraw = False
40.9534 	DATA 	Keypress: 1
41.4533 	EXP 	fixation: autoDraw = False
41.4533 	EXP 	blank: autoDraw = False
41.4533 	EXP 	itemL: autoDraw = False
41.4533 	EXP 	itemR: autoDraw = False
41.4533 	EXP 	feedback_2: text = 'Correct! RT=1.517'
41.4533 	EXP 	feedback_2: autoDraw = True
42.2891 	DATA 	Keypress: escape
